1339 408 341
241 171 -1 0
244 170 -1 0
243 170 -1 0
242 170 -1 0
241 170 -1 0
240 170 -1 0
239 170 -1 0
238 170 -1 0
245 169 -1 0
244 169 -1 0
243 169 -1 0
242 169 -1 0
241 169 -1 0
240 169 -1 0
239 169 -1 0
238 169 -1 0
237 169 -1 0
245 168 -1 0
244 168 -1 0
243 168 -1 0
242 168 -1 0
241 168 -1 0
240 168 -1 0
239 168 -1 0
238 168 -1 0
237 168 -1 0
245 167 -1 0
244 167 -1 0
243 167 -1 0
242 167 -1 0
241 167 -1 0
240 167 -1 0
239 167 -1 0
238 167 -1 0
237 167 -1 0
246 166 -1 0
245 166 -1 0
244 166 -1 0
243 166 -1 0
242 166 -1 0
241 166 -1 0
240 166 -1 0
239 166 -1 0
238 166 -1 0
237 166 -1 0
236 166 -1 0
245 165 -1 0
244 165 -1 0
243 165 -1 0
242 165 -1 0
241 165 -1 0
240 165 -1 0
239 165 -1 0
238 165 -1 0
237 165 -1 0
246 164 -1 0
245 164 -1 0
244 164 -1 0
243 164 -1 0
242 164 -1 0
241 164 -1 0
240 164 -1 0
239 164 -1 0
238 164 -1 0
237 164 -1 0
236 164 -1 0
246 163 -1 0
245 163 -1 0
244 163 -1 0
243 163 -1 0
242 163 -1 0
241 163 -1 0
240 163 -1 0
239 163 -1 0
238 163 -1 0
237 163 -1 0
236 163 -1 0
246 162 -1 0
245 162 -1 0
244 162 -1 0
243 162 -1 0
242 162 -1 0
241 162 -1 0
240 162 -1 0
239 162 -1 0
238 162 -1 0
237 162 -1 0
236 162 -1 0
246 161 -1 0
245 161 -1 0
244 161 -1 0
243 161 -1 0
242 161 -1 0
241 161 -1 0
240 161 -1 0
239 161 -1 0
238 161 -1 0
237 161 -1 0
236 161 -1 0
245 160 -1 0
244 160 -1 0
243 160 -1 0
242 160 -1 0
241 160 -1 0
240 160 -1 0
239 160 -1 0
238 160 -1 0
237 160 -1 0
246 159 -1 0
245 159 -1 0
244 159 -1 0
243 159 -1 0
242 159 -1 0
241 159 -1 0
240 159 -1 0
239 159 -1 0
238 159 -1 0
237 159 -1 0
236 159 -1 0
246 158 -1 0
245 158 -1 0
244 158 -1 0
243 158 -1 0
242 158 -1 0
241 158 -1 0
240 158 -1 0
239 158 -1 0
238 158 -1 0
237 158 -1 0
236 158 -1 0
246 157 -1 0
245 157 -1 0
244 157 -1 0
243 157 -1 0
242 157 -1 0
241 157 -1 0
240 157 -1 0
239 157 -1 0
238 157 -1 0
237 157 -1 0
236 157 -1 0
246 156 -1 0
245 156 -1 0
244 156 -1 0
243 156 -1 0
242 156 -1 0
241 156 -1 0
240 156 -1 0
239 156 -1 0
238 156 -1 0
237 156 -1 0
236 156 -1 0
245 155 -1 0
244 155 -1 0
243 155 -1 0
242 155 -1 0
241 155 -1 0
240 155 -1 0
239 155 -1 0
238 155 -1 0
237 155 -1 0
246 154 -1 0
245 154 -1 0
244 154 -1 0
243 154 -1 0
242 154 -1 0
241 154 -1 0
240 154 -1 0
239 154 -1 0
238 154 -1 0
237 154 -1 0
236 154 -1 0
246 153 -1 0
245 153 -1 0
244 153 -1 0
243 153 -1 0
242 153 -1 0
241 153 -1 0
240 153 -1 0
239 153 -1 0
238 153 -1 0
237 153 -1 0
236 153 -1 0
246 152 -1 0
245 152 -1 0
244 152 -1 0
243 152 -1 0
242 152 -1 0
241 152 -1 0
240 152 -1 0
239 152 -1 0
238 152 -1 0
237 152 -1 0
236 152 -1 0
246 151 -1 0
245 151 -1 0
244 151 -1 0
243 151 -1 0
242 151 -1 0
241 151 -1 0
240 151 -1 0
239 151 -1 0
238 151 -1 0
237 151 -1 0
236 151 -1 0
245 150 -1 0
244 150 -1 0
243 150 -1 0
242 150 -1 0
241 150 -1 0
240 150 -1 0
239 150 -1 0
238 150 -1 0
237 150 -1 0
245 149 -1 0
244 149 -1 0
243 149 -1 0
242 149 -1 0
241 149 -1 0
240 149 -1 0
239 149 -1 0
238 149 -1 0
237 149 -1 0
246 148 -1 0
245 148 -1 0
244 148 -1 0
243 148 -1 0
242 148 -1 0
241 148 -1 0
240 148 -1 0
239 148 -1 0
238 148 -1 0
237 148 -1 0
236 148 -1 0
246 147 -1 0
245 147 -1 0
244 147 -1 0
243 147 -1 0
242 147 -1 0
241 147 -1 0
240 147 -1 0
239 147 -1 0
238 147 -1 0
237 147 -1 0
236 147 -1 0
246 146 -1 0
245 146 -1 0
244 146 -1 0
243 146 -1 0
242 146 -1 0
241 146 -1 0
240 146 -1 0
239 146 -1 0
238 146 -1 0
237 146 -1 0
236 146 -1 0
245 145 -1 0
244 145 -1 0
243 145 -1 0
242 145 -1 0
241 145 -1 0
240 145 -1 0
239 145 -1 0
238 145 -1 0
237 145 -1 0
245 144 -1 0
244 144 -1 0
243 144 -1 0
242 144 -1 0
241 144 -1 0
240 144 -1 0
239 144 -1 0
238 144 -1 0
237 144 -1 0
246 143 -1 0
245 143 -1 0
244 143 -1 0
243 143 -1 0
242 143 -1 0
241 143 -1 0
240 143 -1 0
239 143 -1 0
238 143 -1 0
237 143 -1 0
236 143 -1 0
246 142 -1 0
245 142 -1 0
244 142 -1 0
243 142 -1 0
242 142 -1 0
241 142 -1 0
240 142 -1 0
239 142 -1 0
238 142 -1 0
237 142 -1 0
236 142 -1 0
245 141 -1 0
244 141 -1 0
243 141 -1 0
242 141 -1 0
241 141 -1 0
240 141 -1 0
239 141 -1 0
238 141 -1 0
237 141 -1 0
246 140 -1 0
245 140 -1 0
244 140 -1 0
243 140 -1 0
242 140 -1 0
241 140 -1 0
240 140 -1 0
239 140 -1 0
238 140 -1 0
237 140 -1 0
247 139 -1 0
246 139 -1 0
245 139 -1 0
244 139 -1 0
243 139 -1 0
242 139 -1 0
241 139 -1 0
240 139 -1 0
239 139 -1 0
238 139 -1 0
237 139 -1 0
236 139 -1 0
247 138 -1 0
246 138 -1 0
245 138 -1 0
244 138 -1 0
243 138 -1 0
242 138 -1 0
241 138 -1 0
240 138 -1 0
239 138 -1 0
238 138 -1 0
237 138 -1 0
247 137 -1 0
246 137 -1 0
245 137 -1 0
244 137 -1 0
243 137 -1 0
242 137 -1 0
241 137 -1 0
240 137 -1 0
239 137 -1 0
238 137 -1 0
237 137 -1 0
236 137 -1 0
248 136 -1 0
247 136 -1 0
246 136 -1 0
245 136 -1 0
244 136 -1 0
243 136 -1 0
242 136 -1 0
241 136 -1 0
240 136 -1 0
239 136 -1 0
238 136 -1 0
237 136 -1 0
247 135 -1 0
246 135 -1 0
245 135 -1 0
244 135 -1 0
243 135 -1 0
242 135 -1 0
241 135 -1 0
240 135 -1 0
239 135 -1 0
238 135 -1 0
237 135 -1 0
248 134 -1 0
247 134 -1 0
246 134 -1 0
245 134 -1 0
244 134 -1 0
243 134 -1 0
242 134 -1 0
241 134 -1 0
240 134 -1 0
239 134 -1 0
238 134 -1 0
237 134 -1 0
247 133 -1 0
246 133 -1 0
245 133 -1 0
244 133 -1 0
243 133 -1 0
242 133 -1 0
241 133 -1 0
240 133 -1 0
239 133 -1 0
238 133 -1 0
247 132 -1 0
246 132 -1 0
245 132 -1 0
244 132 -1 0
243 132 -1 0
242 132 -1 0
241 132 -1 0
240 132 -1 0
239 132 -1 0
248 131 -1 0
247 131 -1 0
246 131 -1 0
245 131 -1 0
244 131 -1 0
243 131 -1 0
242 131 -1 0
241 131 -1 0
240 131 -1 0
239 131 -1 0
248 130 -1 0
247 130 -1 0
246 130 -1 0
245 130 -1 0
244 130 -1 0
243 130 -1 0
242 130 -1 0
241 130 -1 0
240 130 -1 0
248 129 -1 0
247 129 -1 0
246 129 -1 0
245 129 -1 0
244 129 -1 0
243 129 -1 0
242 129 -1 0
241 129 -1 0
240 129 -1 0
249 128 -1 0
248 128 -1 0
247 128 -1 0
246 128 -1 0
245 128 -1 0
244 128 -1 0
243 128 -1 0
242 128 -1 0
241 128 -1 0
240 128 -1 0
239 128 -1 0
249 127 -1 0
248 127 -1 0
247 127 -1 0
246 127 -1 0
245 127 -1 0
244 127 -1 0
243 127 -1 0
242 127 -1 0
241 127 -1 0
240 127 -1 0
239 127 -1 0
248 126 -1 0
247 126 -1 0
246 126 -1 0
245 126 -1 0
244 126 -1 0
243 126 -1 0
242 126 -1 0
241 126 -1 0
240 126 -1 0
248 125 -1 0
247 125 -1 0
246 125 -1 0
245 125 -1 0
244 125 -1 0
243 125 -1 0
242 125 -1 0
241 125 -1 0
240 125 -1 0
249 124 -1 0
248 124 -1 0
247 124 -1 0
246 124 -1 0
245 124 -1 0
244 124 -1 0
243 124 -1 0
242 124 -1 0
241 124 -1 0
240 124 -1 0
239 124 -1 0
249 123 -1 0
248 123 -1 0
247 123 -1 0
246 123 -1 0
245 123 -1 0
244 123 -1 0
243 123 -1 0
242 123 -1 0
241 123 -1 0
240 123 -1 0
249 122 -1 0
248 122 -1 0
247 122 -1 0
246 122 -1 0
245 122 -1 0
244 122 -1 0
243 122 -1 0
242 122 -1 0
241 122 -1 0
240 122 -1 0
250 121 -1 0
249 121 -1 0
248 121 -1 0
247 121 -1 0
246 121 -1 0
245 121 -1 0
244 121 -1 0
243 121 -1 0
242 121 -1 0
241 121 -1 0
240 121 -1 0
250 120 -1 0
249 120 -1 0
248 120 -1 0
247 120 -1 0
246 120 -1 0
245 120 -1 0
244 120 -1 0
243 120 -1 0
242 120 -1 0
241 120 -1 0
240 120 -1 0
250 119 -1 0
249 119 -1 0
248 119 -1 0
247 119 -1 0
246 119 -1 0
245 119 -1 0
244 119 -1 0
243 119 -1 0
242 119 -1 0
241 119 -1 0
250 118 -1 0
249 118 -1 0
248 118 -1 0
247 118 -1 0
246 118 -1 0
245 118 -1 0
244 118 -1 0
243 118 -1 0
242 118 -1 0
241 118 -1 0
251 117 -1 0
250 117 -1 0
249 117 -1 0
248 117 -1 0
247 117 -1 0
246 117 -1 0
245 117 -1 0
244 117 -1 0
243 117 -1 0
242 117 -1 0
241 117 -1 0
240 117 -1 0
252 116 -1 0
251 116 -1 0
250 116 -1 0
249 116 -1 0
248 116 -1 0
247 116 -1 0
246 116 -1 0
245 116 -1 0
244 116 -1 0
243 116 -1 0
242 116 -1 0
241 116 -1 0
252 115 -1 0
251 115 -1 0
250 115 -1 0
249 115 -1 0
248 115 -1 0
247 115 -1 0
246 115 -1 0
245 115 -1 0
