1648 408 341
250 242 -1 0
253 241 -1 0
252 241 -1 0
251 241 -1 0
250 241 -1 0
249 241 -1 0
248 241 -1 0
247 241 -1 0
254 240 -1 0
253 240 -1 0
252 240 -1 0
251 240 -1 0
250 240 -1 0
249 240 -1 0
248 240 -1 0
247 240 -1 0
246 240 -1 0
254 239 -1 0
253 239 -1 0
252 239 -1 0
251 239 -1 0
250 239 -1 0
249 239 -1 0
248 239 -1 0
247 239 -1 0
246 239 -1 0
254 238 -1 0
253 238 -1 0
252 238 -1 0
251 238 -1 0
250 238 -1 0
249 238 -1 0
248 238 -1 0
247 238 -1 0
246 238 -1 0
255 237 -1 0
254 237 -1 0
253 237 -1 0
252 237 -1 0
251 237 -1 0
250 237 -1 0
249 237 -1 0
248 237 -1 0
247 237 -1 0
246 237 -1 0
245 237 -1 0
255 236 -1 0
254 236 -1 0
253 236 -1 0
252 236 -1 0
251 236 -1 0
250 236 -1 0
249 236 -1 0
248 236 -1 0
247 236 -1 0
246 236 -1 0
245 236 -1 0
258 235 -1 0
257 235 -1 0
256 235 -1 0
255 235 -1 0
254 235 -1 0
253 235 -1 0
252 235 -1 0
251 235 -1 0
250 235 -1 0
249 235 -1 0
248 235 -1 0
247 235 -1 0
246 235 -1 0
245 235 -1 0
259 234 -1 0
258 234 -1 0
257 234 -1 0
256 234 -1 0
255 234 -1 0
254 234 -1 0
253 234 -1 0
252 234 -1 0
251 234 -1 0
250 234 -1 0
249 234 -1 0
248 234 -1 0
247 234 -1 0
246 234 -1 0
245 234 -1 0
262 233 -1 0
261 233 -1 0
260 233 -1 0
259 233 -1 0
258 233 -1 0
257 233 -1 0
256 233 -1 0
255 233 -1 0
254 233 -1 0
253 233 -1 0
252 233 -1 0
251 233 -1 0
250 233 -1 0
249 233 -1 0
248 233 -1 0
247 233 -1 0
246 233 -1 0
245 233 -1 0
263 232 -1 0
262 232 -1 0
261 232 -1 0
260 232 -1 0
259 232 -1 0
258 232 -1 0
257 232 -1 0
256 232 -1 0
255 232 -1 0
254 232 -1 0
253 232 -1 0
252 232 -1 0
251 232 -1 0
250 232 -1 0
249 232 -1 0
248 232 -1 0
247 232 -1 0
246 232 -1 0
263 231 -1 0
262 231 -1 0
261 231 -1 0
260 231 -1 0
259 231 -1 0
258 231 -1 0
257 231 -1 0
256 231 -1 0
255 231 -1 0
254 231 -1 0
253 231 -1 0
252 231 -1 0
251 231 -1 0
250 231 -1 0
249 231 -1 0
248 231 -1 0
247 231 -1 0
246 231 -1 0
265 230 -1 0
264 230 -1 0
263 230 -1 0
262 230 -1 0
261 230 -1 0
260 230 -1 0
259 230 -1 0
258 230 -1 0
257 230 -1 0
256 230 -1 0
255 230 -1 0
254 230 -1 0
253 230 -1 0
252 230 -1 0
251 230 -1 0
250 230 -1 0
249 230 -1 0
248 230 -1 0
247 230 -1 0
246 230 -1 0
266 229 -1 0
265 229 -1 0
264 229 -1 0
263 229 -1 0
262 229 -1 0
261 229 -1 0
260 229 -1 0
259 229 -1 0
258 229 -1 0
257 229 -1 0
256 229 -1 0
255 229 -1 0
254 229 -1 0
253 229 -1 0
252 229 -1 0
251 229 -1 0
250 229 -1 0
249 229 -1 0
248 229 -1 0
247 229 -1 0
267 228 -1 0
266 228 -1 0
265 228 -1 0
264 228 -1 0
263 228 -1 0
262 228 -1 0
261 228 -1 0
260 228 -1 0
259 228 -1 0
258 228 -1 0
257 228 -1 0
256 228 -1 0
255 228 -1 0
254 228 -1 0
253 228 -1 0
252 228 -1 0
251 228 -1 0
250 228 -1 0
249 228 -1 0
267 227 -1 0
266 227 -1 0
265 227 -1 0
264 227 -1 0
263 227 -1 0
262 227 -1 0
261 227 -1 0
260 227 -1 0
259 227 -1 0
258 227 -1 0
257 227 -1 0
256 227 -1 0
255 227 -1 0
254 227 -1 0
253 227 -1 0
252 227 -1 0
251 227 -1 0
250 227 -1 0
268 226 -1 0
267 226 -1 0
266 226 -1 0
265 226 -1 0
264 226 -1 0
263 226 -1 0
262 226 -1 0
261 226 -1 0
260 226 -1 0
259 226 -1 0
258 226 -1 0
257 226 -1 0
256 226 -1 0
255 226 -1 0
254 226 -1 0
253 226 -1 0
268 225 -1 0
267 225 -1 0
266 225 -1 0
265 225 -1 0
264 225 -1 0
263 225 -1 0
262 225 -1 0
261 225 -1 0
260 225 -1 0
259 225 -1 0
258 225 -1 0
257 225 -1 0
256 225 -1 0
255 225 -1 0
254 225 -1 0
268 224 -1 0
267 224 -1 0
266 224 -1 0
265 224 -1 0
264 224 -1 0
263 224 -1 0
262 224 -1 0
261 224 -1 0
260 224 -1 0
259 224 -1 0
258 224 -1 0
257 224 -1 0
256 224 -1 0
269 223 -1 0
268 223 -1 0
267 223 -1 0
266 223 -1 0
265 223 -1 0
264 223 -1 0
263 223 -1 0
262 223 -1 0
261 223 -1 0
260 223 -1 0
259 223 -1 0
258 223 -1 0
257 223 -1 0
256 223 -1 0
269 222 -1 0
268 222 -1 0
267 222 -1 0
266 222 -1 0
265 222 -1 0
264 222 -1 0
263 222 -1 0
262 222 -1 0
261 222 -1 0
260 222 -1 0
259 222 -1 0
258 222 -1 0
257 222 -1 0
269 221 -1 0
268 221 -1 0
267 221 -1 0
266 221 -1 0
265 221 -1 0
264 221 -1 0
263 221 -1 0
262 221 -1 0
261 221 -1 0
260 221 -1 0
259 221 -1 0
269 220 -1 0
268 220 -1 0
267 220 -1 0
266 220 -1 0
265 220 -1 0
264 220 -1 0
263 220 -1 0
262 220 -1 0
261 220 -1 0
260 220 -1 0
259 220 -1 0
270 219 -1 0
269 219 -1 0
268 219 -1 0
267 219 -1 0
266 219 -1 0
265 219 -1 0
